x,y,z
742.607,786.726,2
743.078,788.689,2
743.615,786.636,2
743.615,786.636,2
743.781,785.295,2
743.547,786.492,2
743.547,786.492,2
744.159,785.284,2
744.454,786.889,2
745.172,785.885,2
744.888,787.143,2
744.888,787.143,2
744.994,785.936,1
744.903,787.169,1
745.693,784.877,1
745.693,784.877,1
746.238,785.176,1
744.320,784.052,1
742.903,785.144,1
742.903,785.144,1
740.000,786.936,1
740.806,788.678,1
740.358,790.607,1
740.358,790.607,1
741.673,789.490,1
730.178,797.204,1
730.167,798.822,1
731.588,797.662,1
730.711,798.299,1
731.519,796.745,1
730.273,798.080,1
730.273,798.080,1
730.553,797.188,1
729.657,798.255,1
730.029,797.283,1
729.322,798.173,1
